word_clean,mean_RT,word_len,unigram_freq,gpt3_surprisal,affix_type
anger,340.7323107372588,5,6714851.0,0.24941649,real-affix
cover,327.44041514041515,5,13765275.0,2.21655075,pseudo-affix
enter,316.83116883116884,5,11772759.0,0.46075131999999996,pseudo-affix
lower,313.5494505494505,5,28478850.0,0.50886842755,real-affix
older,361.8336917562724,5,14300395.0,2.3546359833333335,real-affix
paper,342.99147810755215,5,26454718.0,0.863543262,real-affix
refer,315.1578947368421,5,8430029.0,0.8606444,real-affix
river,346.11248036728284,5,12570076.0,1.54583085,pseudo-affix
sheer,343.39772727272725,5,2071421.0,5.060638,pseudo-affix
wider,302.01149425287355,5,4962184.0,1.0245253,pseudo-affix
